"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZPAH9WZW","journalArticle","1994","Espinosa, Gerardo; Ortega, Romeo","State observers are unnecessary for induction motor control","Systems & Control Letters","","01676911","10.1016/0167-6911(94)90063-9","https://linkinghub.elsevier.com/retrieve/pii/0167691194900639","","1994-11","2026-08-23 21:37:53","2026-08-23 22:23:26","2026-08-23 21:37:53","315-323","","5","23","","Systems & Control Letters","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\JVRFJDRW\Espinosa y Ortega - 1994 - State observers are unnecessary for induction motor control.pdf","","Ecuaciones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FFGPRBVU","thesis","2014","Picatoste Ruilope, Ricardo","Modelling and Control of Stepper Motors for HighAccuracy Positioning Systems Used in RadioactiveEnvironments","","","","10.20868/UPM.thesis.32464","http://oa.upm.es/32464/","","2014-10-17","2026-08-23 21:38:07","2026-08-23 22:06:53","2026-08-23 21:38:07","","","","","","","","","","","","Universidad Politécnica de Madrid","","","","PhD Thesis","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\9KZP9VU4\Picatoste Ruilope - 2014 - Modelling and Control of Stepper Motors for HighAccuracy Positioning Systems Used in RadioactiveEnvi.pdf","","STEPPER; SENSORLESS; Disturbed observer; Cogging; Ecuaciones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5Z35LY93","journalArticle","2021","Bu, Feifei; Yang, Zhida; Gao, Yu; Pan, Zihao; Pu, Tianyu; Degano, Michele; Gerada, Chris","Speed Ripple Reduction of Direct-Drive PMSM Servo System at Low-Speed Operation Using Virtual Cogging Torque Control Method","IEEE Transactions on Industrial Electronics","","0278-0046, 1557-9948","10.1109/TIE.2019.2962400","https://ieeexplore.ieee.org/document/8949446/","","2021-01","2026-08-23 21:38:12","2026-08-23 22:19:06","2026-08-23 21:38:12","160-174","","1","68","","IEEE Trans. Ind. Electron.","","","","","","","","","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\SMS3UKH2\Bu et al. - 2021 - Speed Ripple Reduction of Direct-Drive PMSM Servo System at Low-Speed Operation Using Virtual Coggin.pdf","","PMSM; SENSORLESS; Cogging; Low-speed; Ecuaciones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FTGUHH3X","conferencePaper","2022","Houari, A.; Bouabdallah, A.; Djerioui, A.; Machmoum, M.; Benkhoris, M. F.; Tir, Z.","Speed Ripples Reduction of PMSM Drives under Low-Speed Working Conditions","2022 IEEE International Conference on Electrical Sciences and Technologies in Maghreb (CISTEM)","978-1-6654-5168-0","","10.1109/CISTEM55808.2022.10043889","https://ieeexplore.ieee.org/document/10043889/","","2022-10-26","2026-08-23 21:38:16","2026-08-23 22:23:08","2026-08-23 21:38:16","1-6","","","","","","","","","","","IEEE","Tunis, Tunisia","","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\XMCJLQFS\Houari et al. - 2022 - Speed Ripples Reduction of PMSM Drives under Low-Speed Working Conditions.pdf","","PMSM; Cogging; Ecuaciones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022 IEEE International Conference on Electrical Sciences and Technologies in Maghreb (CISTEM)","","","","","","","","","","","","","","",""
"ZHDQWY7E","conferencePaper","2019","Guzinski, Jaroslaw; Morawiec, Marcin; Krzeminski, Zbigniew; Luksza, Krzysztof; Strankowski, Patryk; Kouzou, Abdellah","Sensorless Low Speed PMSM Motor Control with Cogging Torque Compensation","2019 2nd International Conference on Smart Grid and Renewable Energy (SGRE)","978-1-7281-2960-0","","10.1109/SGRE46976.2019.9021019","https://ieeexplore.ieee.org/document/9021019/","","2019-11","2026-08-23 21:38:18","2026-08-23 22:16:57","2026-08-23 21:38:18","1-6","","","","","","","","","","","IEEE","Doha, Qatar","","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\KNHCCB56\Guzinski et al. - 2019 - Sensorless Low Speed PMSM Motor Control with Cogging Torque Compensation.pdf","","PMSM; SENSORLESS; Disturbed observer; Cogging; Low-speed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 2nd International Conference on Smart Grid and Renewable Energy (SGRE)","","","","","","","","","","","","","","",""
"XLFP93HT","journalArticle","2015","Maurelia, Eduardo; Espinoza, Jose R.; Silva, Cesar A.; Rojas, Christian A.; Melin, Pedro E.; Espinosa, Eduardo E.","An Operating Condition-Based Scheme to Alternate Between Control Strategies for Improved Steady-State and Transient Behavior","IEEE Transactions on Industrial Informatics","","1551-3203, 1941-0050","10.1109/TII.2015.2481791","http://ieeexplore.ieee.org/document/7275173/","","2015-12","2026-08-23 21:38:28","2026-08-23 21:59:16","2026-08-23 21:38:28","1246-1254","","6","11","","IEEE Trans. Ind. Inf.","","","","","","","","","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\52R8SW38\Maurelia et al. - 2015 - An Operating Condition-Based Scheme to Alternate Between Control Strategies for Improved Steady-Stat.pdf","","Ecuaciones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7UX7ZU2M","journalArticle","","Vierbergen, R O","Predicting and Improving the Behaviour of Stepping Motors","","","","","","","","2026-08-23 21:38:30","2026-08-23 22:12:19","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\damia\Zotero\storage\M8HQX658\Vierbergen - Predicting and Improving the Behaviour of Stepping Motors.pdf","","Ecuaciones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HL9QZTWC","conferencePaper","2007","Ferrah, Azzeddine; Bani-Younes, Jehad Al-Khalaf; Bouzguenda, Mounir; Tami, Abdelkader","Sensorless speed and position estimation in a stepper motor","2007 International Aegean Conference on Electrical Machines and Power Electronics","978-1-4244-0890-0 978-1-4244-0891-7","","10.1109/ACEMP.2007.4510515","http://ieeexplore.ieee.org/document/4510515/","","2007-09","2026-08-23 21:38:35","2026-08-23 22:18:08","2026-08-23 21:38:35","297-302","","","","","","","","","","","IEEE","Bodrum, Turkey","","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\FFQN5G5N\Ferrah et al. - 2007 - Sensorless speed and position estimation in a stepper motor.pdf","","Ecuaciones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2007 International Aegean Conference on Electrical Machines and Power Electronics (ACEMP) and Electromotion '07","","","","","","","","","","","","","","",""
"QZB3KHEV","journalArticle","2022","Luo, Rongfu; Wang, Zenghui; Sun, Yanxia","Optimized Luenberger Observer-Based PMSM Sensorless Control by PSO","Modelling and Simulation in Engineering","","1687-5605, 1687-5591","10.1155/2022/3328719","https://www.hindawi.com/journals/mse/2022/3328719/","In the real applications, we found that it is difficult to achieve good control performance through manually tuning proportional–integral (PI) parameters of phase locked loop (PLL) and speed-loop of Luenberger observer (LO) for the PMSM sensorless control system. Therefore, this paper is to use the particle swarm optimization (PSO) algorithm to optimize the PI parameters of PLL and speed-loop of Luenberger observer of the system. Firstly, the ranges of PLL parameters are obtained by analyzing the PLL subsystem stability. Then, the ranges of PI parameters of PLL and speed-loop are set based on theoretical estimation and empirical values. The control system model is realized in MATLAB/Simulink that considers the constraints such as the saturation. The integral time absolute error is the objective function, and the PSO with different topologies is used to optimize the PI parameters. The simulation and experimental results show that the proposed method is feasible, and the optimized parameters can effectively improve the precision of position estimation and speed estimation. Moreover, the simulations and experiments are carried out to verify the robustness of the proposed method, and the results show that the optimized system can achieve good performance when there are uncertainties or disturbances.","2022-08-22","2026-08-23 21:38:40","2026-08-23 22:09:09","2026-08-23 21:38:40","1-17","","","2022","","Modelling and Simulation in Engineering","","","","","","","","en","https://creativecommons.org/licenses/by/4.0/","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\PFY569ME\Luo et al. - 2022 - Optimized Luenberger Observer-Based PMSM Sensorless Control by PSO.pdf","","PMSM; SENSORLESS; Low-speed; Ecuaciones","","Al Basir, Fahad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PYTMLDP8","journalArticle","2020","Lascu, Cristian; Andreescu, Gheorghe-Daniel","PLL Position and Speed Observer With Integrated Current Observer for Sensorless PMSM Drives","IEEE Transactions on Industrial Electronics","","0278-0046, 1557-9948","10.1109/TIE.2020.2972434","https://ieeexplore.ieee.org/document/8998581/","","2020-07","2026-08-23 21:38:43","2026-08-23 22:10:38","2026-08-23 21:38:43","5990-5999","","7","67","","IEEE Trans. Ind. Electron.","","","","","","","","","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\NHX2P9LS\Lascu y Andreescu - 2020 - PLL Position and Speed Observer With Integrated Current Observer for Sensorless PMSM Drives.pdf","","PMSM; SENSORLESS; HFI; Disturbed observer; Low-speed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
